TIME,Q1_VetoCounter,Q2_VetoCounter,Q3_VetoCounter,Q4_VetoCounter
297287091.0,717,788,829,663
297287092.0,717,788,829,663
297287093.0,717,788,829,663
297287094.0,717,788,829,663
297287095.0,717,788,829,663
297287096.0,717,788,829,663
297287097.0,717,788,829,663
297287098.0,717,788,829,663
297287099.0,717,788,829,663
297287100.0,717,788,829,663
297287101.0,717,788,829,663
297287102.0,717,788,829,663
297287103.0,717,788,829,663
297287104.0,717,788,829,663
297287105.0,717,788,829,663
297287106.0,717,788,829,663
297287107.0,717,788,829,663
297287108.0,717,788,829,663
297287109.0,717,788,829,663
297287110.0,717,788,829,663
297287111.0,717,788,829,663
297287112.0,717,788,829,663
297287113.0,717,788,829,663
297287114.0,717,788,829,663
297287115.0,717,788,829,663
297287116.0,717,788,829,663
297287117.0,717,788,829,663
297287118.0,717,788,829,663
297287119.0,717,788,829,663
297287120.0,717,788,829,663
297287121.0,717,788,829,663
297287122.0,717,788,829,663
297287123.0,717,788,829,663
297287124.0,717,788,829,663
297287125.0,717,788,829,663
297287126.0,717,788,829,663
297287127.0,717,788,829,663
297287128.0,717,788,829,663
297287129.0,717,788,829,663
297287130.0,717,788,829,663
297287131.0,717,788,829,663
297287132.0,717,788,829,663
297287133.0,717,788,829,663
297287134.0,717,788,829,663
297287135.0,717,788,829,663
297287136.0,717,788,829,663
297287137.0,717,788,829,663
297287138.0,717,788,829,663
297287139.0,717,788,829,663
297287140.0,717,788,829,663
297287141.0,717,788,829,663
297287142.0,717,788,829,663
297287143.0,717,788,829,663
297287144.0,717,788,829,663
297287145.0,717,788,829,663
297287146.0,717,788,829,663
297287147.0,717,788,829,663
297287148.0,717,788,829,663
297287149.0,717,788,829,663
297287150.0,717,788,829,663
297287151.0,717,788,829,663
297287152.0,717,788,829,663
297287153.0,717,788,829,663
297287154.0,717,788,829,663
297287155.0,717,788,829,663
297287156.0,717,788,829,663
297287157.0,717,788,829,663
297287158.0,717,788,829,663
297287159.0,717,788,829,663
297287160.0,717,788,829,663
297287161.0,717,788,829,663
297287162.0,717,788,829,663
297287163.0,717,788,829,663
297287164.0,717,788,829,663
297287165.0,717,788,829,663
297287166.0,717,788,829,663
297287167.0,717,788,829,663
297287168.0,717,788,829,663
297287169.0,717,788,829,663
297287170.0,717,788,829,663
297287171.0,717,788,829,663
297287172.0,717,788,829,663
297287173.0,717,788,829,663
297287174.0,717,788,829,663
297287175.0,717,788,829,663
297287176.0,717,788,829,663
297287177.0,717,788,829,663
297287178.0,717,788,829,663
297287179.0,717,788,829,663
297287180.0,717,788,829,663
297287181.0,717,788,829,663
297287182.0,717,788,829,663
297287183.0,717,788,829,663
297287184.0,717,788,829,663
297287185.0,717,788,829,663
297287186.0,717,788,829,663
297287187.0,717,788,829,663
297287188.0,717,788,829,663
297287189.0,717,788,829,663
297287190.0,717,788,829,663
297287191.0,717,788,829,663
297287192.0,717,788,829,663
297287193.0,717,788,829,663
297287194.0,717,788,829,663
297287195.0,717,788,829,663
297287196.0,717,788,829,663
297287197.0,717,788,829,663
297287198.0,717,788,829,663
297287199.0,717,788,829,663
297287200.0,717,788,829,663
297287201.0,717,788,829,663
297287202.0,717,788,829,663
297287203.0,717,788,829,663
297287204.0,717,788,829,663
297287205.0,717,788,829,663
297287206.0,717,788,829,663
297287207.0,717,788,829,663
297287208.0,717,788,829,663
297287209.0,717,788,829,663
297287210.0,717,788,829,663
297287211.0,717,788,829,663
297287212.0,717,788,829,663
297287213.0,717,788,829,663
297287214.0,717,788,829,663
297287215.0,717,788,829,663
297287216.0,717,788,829,663
297287217.0,717,788,829,663
297287218.0,717,788,829,663
297287219.0,717,788,829,663
297287220.0,717,788,829,663
297287221.0,717,788,829,663
297287222.0,717,788,829,663
297287223.0,717,788,829,663
297287224.0,717,788,829,663
297287225.0,717,788,829,663
297287226.0,717,788,829,663
297287227.0,717,788,829,663
297287228.0,717,788,829,663
297287229.0,717,788,829,663
297287230.0,717,788,829,663
297287231.0,717,788,829,663
297287232.0,717,788,829,663
297287233.0,717,788,829,663
297287234.0,717,788,829,663
297287235.0,717,788,829,663
297287236.0,717,788,829,663
297287237.0,717,788,829,663
297287238.0,717,788,829,663
297287239.0,717,788,829,663
297287240.0,717,788,829,663
297287241.0,717,788,829,663
297287242.0,717,788,829,663
297287243.0,717,788,829,663
297287244.0,717,788,829,663
297287245.0,717,788,829,663
297287246.0,717,788,829,663
297287247.0,717,788,829,663
297287248.0,717,788,829,663
297287249.0,717,788,829,663
297287250.0,717,788,829,663
297287251.0,717,788,829,663
297287252.0,717,788,829,663
